-685.28,-673.25,-1221.5,-535.11,-542.83,-1358.1,-707.79,-1464.3,-821.26,-1107.8,-793.95,-1453.8,-805.17,-1465.6,-734.48,-1010.2,-790.64,-820.3,-1381,-1159.6,-748.73,-800.92,-952.78,-1242.5,-704.29,-1215,-883.96,-669.17,-582.81,-746.27,-1424.1
-594.21,-1235.3,-953.12,-1342.4,-1014.6,-1078.2,-540.51,-650.87,-742.26,-844.52,-1468.2,-1402.9,-1182.9,-1061.3,-704.8,-1054.4,-745.31,-844.9,-1001.6,-914.73,-1244.9,-609.1,-1361.4,-659.28,-1332.1,-1383.7,-1026.7,-914.74,-1214.2,-1119.6,-1446
-1373,-2304.9,-542.49,-529.41,-699.72,-584.26,-844.26,-566.01,-756.87,-1328.8,-1223.1,-676.54,-549.78,-1118.4,-1313.1,-853.69,-1224,-1337.4,-540.26,-1276.2,-994.04,-540.71,-1350.7,-1245.7,-577.81,-1323.8,-1148.3,-950.28,-742.8,-932.18,-969.2
-1500,-2500,-614.76,-529.28,-745,-533.46,-946.87,-500,-760.61,-1193.9,-989.35,-500,-500,-1388.4,-1422.9,-787.56,-1047.8,-1345.5,-500,-1329.9,-865.15,-516.35,-1341.9,-1245,-694.74,-1388.3,-1061.3,-1074.7,-740.94,-1082.3,-788.37
-755.93,-1500,-1020.1,-595.28,-890.13,-882.33,-640.56,-694.51,-923.28,-1317.1,-1260.1,-613.49,-1471.3,-1010.1,-1332.1,-521.32,-787.31,-999.53,-1028.9,-1440.4,-818.03,-1457.6,-1428.6,-978.35,-1493.6,-700.04,-682.45,-777.56,-1350.1,-840.39,-981.41
-1373,-2304.9,-542.49,-529.41,-699.72,-584.26,-844.26,-566.01,-756.87,-1328.8,-1223.1,-676.54,-549.78,-1118.4,-1313.1,-853.69,-1224,-1337.4,-540.26,-1276.2,-994.04,-540.71,-1350.7,-1245.7,-577.81,-1323.8,-1148.3,-950.28,-742.8,-932.18,-969.2
-500,-1506.6,-1492.8,-533.24,-502.86,-567.56,-822.21,-1500,-850.45,-1348.8,-760.04,-1393.2,-916.29,-1187.1,-1105.8,-1262.2,-1044.2,-1189.5,-1210.5,-1106.4,-901.85,-653.67,-1167.5,-1243.2,-544.29,-1035.5,-1179,-799.03,-733.6,-500,-1021.7
-1235.2,-1863.9,-1380.8,-560.17,-854.45,-1020.5,-860.68,-955.28,-852.69,-956.11,-778.95,-977.5,-506.3,-1281.3,-1394.2,-1390.3,-1436.4,-1095.4,-1051.6,-1134.2,-736.5,-872.1,-728.02,-567.15,-529.99,-1388.8,-1361.1,-803.73,-1406.2,-974.6,-969.66
-1373,-2304.9,-542.49,-529.41,-699.72,-584.26,-844.26,-566.01,-756.87,-1328.8,-1223.1,-676.54,-549.78,-1118.4,-1313.1,-853.69,-1224,-1337.4,-540.26,-1276.2,-994.04,-540.71,-1350.7,-1245.7,-577.81,-1323.8,-1148.3,-950.28,-742.8,-932.18,-969.2
-1500,-729.88,-500,-532.41,-689.92,-1267.4,-741.64,-500,-722.71,-841.06,-1145.9,-1080.5,-500,-1500,-534.74,-1132,-629.41,-1066.7,-500,-1284.7,-830.76,-856.01,-806.13,-1245.6,-855.38,-1534.6,-500,-1138.1,-536.5,-962.26,-1500
-1324.3,-2082.1,-594.85,-824.61,-1031.5,-587.87,-1396,-754.45,-763.73,-938.14,-1315.8,-902.79,-1200.1,-1365.9,-1287.4,-605.06,-1428.5,-1257.5,-1446.2,-1058.3,-1486.7,-602.81,-1303.3,-1406.6,-1261.9,-1098.3,-1398.3,-504.61,-1167.9,-1202.7,-1438
-1377.3,-2493.9,-622.32,-529.26,-744.06,-563.38,-853.01,-500,-760.88,-1196.5,-1096.7,-500,-500,-1195.1,-1439.1,-757.31,-920.73,-1351.3,-525.96,-1279.5,-917.86,-509.13,-1340.8,-1245.1,-732.81,-1339,-1025.3,-1053.4,-739.75,-1040.1,-847.74
-1284.3,-2087,-684.71,-528.23,-793.58,-1104.1,-815.89,-520,-712.37,-922.01,-1134.7,-769.05,-520,-1432.8,-1500,-645.51,-759.61,-1436.1,-540.88,-1300.7,-962.5,-671.94,-1425.1,-1246.1,-740.52,-1388.7,-824.84,-995.93,-614.25,-1097.6,-590.88
-1401.5,-852.85,-1325,-1336.4,-834.01,-605.61,-983.44,-797.3,-1346.4,-546.54,-959.12,-820.27,-1463.4,-690.8,-751.38,-1379.8,-974.95,-1174.2,-953.55,-1101.1,-1084.9,-1319.3,-1244.6,-1479.5,-583.96,-880.93,-567.39,-1336.5,-578.9,-705.34,-922.61
-1372.3,-2492.6,-595.39,-529.21,-715.14,-587.66,-846.77,-622.99,-756.54,-1321.9,-1278.6,-545.73,-613.88,-1104.3,-1297.7,-881.71,-1043.1,-1332.7,-530.8,-1275.6,-911.06,-521.02,-1349.6,-1245.8,-681.23,-1332.8,-1198.4,-874.5,-743.15,-1036.4,-892.4
-1006.3,-1507.3,-1208.1,-604.81,-952.53,-653.27,-676.44,-571.86,-1038.5,-1500,-1140.9,-522.08,-1500,-1212.9,-1222.4,-580.25,-790.31,-1417.6,-861.7,-1365.8,-800.78,-737.76,-1452,-767.31,-1600,-515.05,-809.31,-612.06,-1500,-613.89,-1054.7
-1086.1,-1515.3,-805.26,-527.27,-1172.2,-662.2,-760.93,-545.83,-1468.1,-1143.1,-837.35,-1218.5,-1269.6,-788.87,-875.43,-909.39,-839.56,-1452.4,-1151.2,-1048.7,-1259.1,-784.95,-643.82,-1218.5,-795.84,-1448.5,-663.28,-1361.4,-911.79,-1133.8,-693.24
-532.76,-1149,-967.13,-540.3,-813.96,-1115.6,-753.35,-702.72,-758.35,-1339.6,-1209,-669.9,-1500,-933.12,-1295.8,-513.54,-1302,-814.06,-880.44,-1500,-999.27,-1337.9,-1429.9,-1037.3,-1600,-500,-547.13,-851.53,-1414.2,-699.31,-1146.7
